Hearing_group,Species,Species_group,Study,Area,Source,Sound_source,Sound_source_position,Sound_source_depth,Frequency_reported,Duration,RL,RL_unit,RL_measured_or_estimated,Source_range,Number_individuals,Sex,Age_yr,PriorBehavior,Behavioural_response,Highest_severity_scale ,Behavior2,Displacement_avoidance ,Acoustic_change_type
Low-frequency,Blue whale,Mysticetes,"GoldBogen et al. 2013, Southall et al. 2012","California, US",MFAS,Mid-frequency sonar,Stationary,,"3.5 - 4 kHz (3.5 - 3.6 kHz linear FM
sweep (0.5 s), then a 3.75 kHz tone (0.5 s), a 0.1 s delay and finally
a 4.0 kHz tone (0.5 s))",1.6 s (duration of the signal) every 25 s for 30 min,160,rms,Measured,minimum range of 200 m,3,,,Foraging,Surface feeding animals typically did not show a change in behaviour.,0,Low,Not-avoidance,Not measured/reported
Low-frequency,Blue whale,Mysticetes,"GoldBogen et al. 2013, Southall et al. 2012","California, US",MFAS,Mid-frequency sonar,Stationary,,"3.5 - 4 kHz (3.5 - 3.6 kHz linear FM
sweep (0.5 s), then a 3.75 kHz tone (0.5 s), a 0.1 s delay and finally
a 4.0 kHz tone (0.5 s))",1.6 s (duration of the signal) every 25 s for 30 min,160,rms,Measured,minimum range of 200 m,4,,,,Whales changed their behaviour: whales terminated deep foraging dives and conducted prolonged mid-water dives. Responses varied according with body orientation in relation to the sound source.,5,Moderate,Not-avoidance,Not measured/reported
Low-frequency,Blue whale,Mysticetes,"GoldBogen et al. 2013, Southall et al. 2012","California, US",Artificial sounds,Artificial sounds,Stationary,,"3.5 - 4 kHz (3.5 to 4.05 Hz band-limited noise (1.0 s), a 0.1 s delay and finally 3.5 to 4.0 Hz band-limited noise (0.3 s))",1.4 s (duration of the signal) every 25 s for 30 min,160,rms,Measured,minimum range of 200 m,1,,,,Whales chnaged their behaviour: whales terminated deep foraging dives and conducted prolonged mid-water dives. Responses varied according with body orientation in relation to the sound source.,5,Moderate,Not-avoidance,Not measured/reported
Various,Various,Various,SOCAL reports; not published. Do not include TAG ID thus I could not compare with published reports. ,,MFAS,Mid-frequency sonar,Moving,,,,,,,,,,,,,,,,
Low-frequency,Humpback whale,Mysticetes,Doyle et al. 2008,"Alaska, US",Continuous,Vessel ,Moving,,fundamental frequencies are under or near 516 Hz,,105,rms,Measured,50 - 150 m ,,,,Foraging,Increase in the rate and repetitiveness of sequential use of feeding call types of whales in response to high vessel noise (> 90dB) vessel noise may be modifying the patterns of use of feeding calls,4,Moderate,Not-avoidance,Vocalization Rate Increase
Low-frequency,Humpback whale,Mysticetes,Dunlop et al. 2014,East coast of Australia,Wind noise,,,,,,,,,,,,,,,,,,
Pinnipeds,Grey and harbour seal,Pinnipeds (in water),Gotz and Janik 2010,"Abertay Sands, UK",Artificial sounds,Artificial sounds,Stationary,,"70 Hz, with carrier frequencies between 500 Hz and 1.5 kHz ",10 s with 10 s of silence for 5 min (duty cycle of 50%).,144,rms,Measured,,20 - 200,,,Resting,Animals appeared to move away from the sound source,6,High,Avoidance,Not measured/reported
Pinnipeds,Grey and harbour seal,Pinnipeds (in water),Gotz and Janik 2010,"Abertay Sands, UK",Artificial sounds,Artificial sounds,Stationary,,400 hz - 20 kHz,10 s with 10 s of silence for 5 min (duty cycle of 50%).,144,rms,Measured,,20 - 200,,,Resting,Animals appeared to move away from the sound source,6,High,Avoidance,Not measured/reported
Pinnipeds,Grey and harbour seal,Pinnipeds (in water),Gotz and Janik 2010,"Abertay Sands, UK",Acoustic alarm,Acoustic alarm,Stationary,,between 7 and 15.5 kHz,10 s with 10 s of silence for 5 min (duty cycle of 50%).,144,rms,Measured,,20 - 200,,,Resting,Animals appeared to move away from the sound source,6,High,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Harcourt et al. 2014,"Sidney, Australia",Acoustic alarm,Acoustic alarm,Stationary,,2.6 and 2.8 kHz (upswept),"5 s interval, 400 ms duration for 18 d",,,,up to 500m,51 pods ,,,Traveling,No behavioural reactions were observed. ,0,Low,Not-avoidance,Not measured/reported
Mid-frequency,Narwhal,Narwhal,Heide-Jorgensen et al. 2013,Canadian High Arctic,Seismic-Explosion,Seismic,Moving,,,,,,,within 200 km,1100,,,,1000 narwhals died in an ice entrapment in Canada in 2008 and about 100 in two entrapments in Northwest Greenland in 2009–10. There was concern that these ice entrapments seemed to be causally linked to seismic survey activities.,,,,
Mid-frequency,Killer whale,Killer whale,"Holt et al. 2009, 2011","Washington state, US",Continuous,Vessel ,Moving,,1 - 40 kHz,,123,rms,Measured,40 - 400m,"? (Three pods present: J, K, L)",,,,"Whales increased their call amplitude (i.e., increased their call source level by 1 dB as background noise levels increased by 1 dB, at least over the range of background noise level measurements observed in the study). Significant positive relationship between call Source Level and Noise Level ",4,Moderate,Not-avoidance,Vocalization intensity increase
Manatees,Manatees,Manatees,Miksis-Olds and Tyack 2009,"Florida, US",Continuous,Vessel ,Moving,,500 Hz - 32 kHz,,80,rms,Measured,,,,,"Foraging, milling, resting and socializing","Manatees exhibited a number of vocal compensation techniques and the vocal parameters modified were context dependent. In conditions of elevated noise levels, call rates decreased during feeding and social
behaviors, and the duration of each call type was differently influenced by the presence of calves. For example, call rates decreased in conditions of elevated noise levels. In response to LFN levels (500 Hz), manatees decreased decrease the vocalization rate (which was dependent on behavioral state), increased chirp durations (when calves were present), and increased squeak durations as noise level increased (when calves were absent). Peak frequency of chirp vocalizations decreased with increasing MFN.",4,Moderate,Not-avoidance,"Decrease vocalization rate, Vocalization duration decrease, Vocalization Intensity Increase, "
Manatees,Manatees,Manatees,"Miksis-Olds and Wagner 2011, Miksis-Olds et al. 2007","Florida, US",Continuous,Vessel ,Moving,,501 Hz - 32 kHz,,64,rms,Measured,,,,,"Foraging, milling, resting and socializing","Proportion of time manatees spent feeding and milling changed in response to sound level. Manatees spent more time in the directed, goal oriented behavior of feeding when noise levels were high and spent less time in undirected behavior such as milling and socializing. When groups containing calves were encountered in grass beds, the noise levels were lower compared to the levels encountered in grass beds for groups without calves (might indicate that manatees with calves might avoid noisier areas).",7,High,Avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,Miller et al. 2005,Beaufort Sea,Seismic-Explosion,Seismic,Moving,5 m,10 - 24 kHz,every 8 seconds,180,rms,Measured,2 km,259 individuals (166 groups),,,Foraging,"Dsipalcement up to 2 km. Higher number of sightings when airguns were not operating. Sighting rate was about twice as high when guns were not operating. Average sighting distance was larger when airguns were oeprating.Apart from displacement, the behaviour of whales was similar during non-seismic vs. seismic periods.",6,High,Avoidance,Not measured/reported
Mid-frequency,Beluga whale,Beluga,Miller et al. 2005,Beaufort Sea,Seismic-Explosion,Seismic,Moving,5 m,10 - 24 kHz,every 8 seconds,150,rms,Measured,10 - 20 km,,,,,"Sighting rates at distances of 10 - 20 km from the airgun array were significantly lower than those in areas 20 - 30 km from the airgun array, where sighting rates were unxepectedley high.",6,High,Avoidance,Not measured/reported
Pinnipeds,Ringed seal,Pinnipeds (in water),Miller et al. 2005,Beaufort Sea,Seismic-Explosion,Seismic,Moving,5 m,10 - 24 kHz,every 8 seconds,190,rms,Measured,210 m,,,,,No evidence that seals were displaced from the vessel by seismic operations; behaviour was also similar during non-seismic vs seismic ,1,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,1 s every 20 s,150,rms,Measured,4.6 km ,1,,,Traveling,"Minor change in speed to avoid source, increase speed and turn away from the path of the approaching source vessel. ",6,High,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",139,rms,Measured,up to 8 km,1,,,Foraging,Minor change in dive profile.,3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",139,rms,Measured,up to 8 km,1,,,,"Prolonged avoidance; tagged animal with its group moved sideways to oncoming source, then away from source for several hours. ",7,High,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",139,rms,Measured,up to 8 km,1,,,Foraging,"Prolonged cessation of feeding. Tailslaps were heard in the final dive, and not heard again in the tag record. Calling was heard but not tailslaps. ",7,High,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",154,rms,Measured,up to 8 km,1,,,,Prolonged cessation of vocal behaviour.,5,Moderate,Not-avoidance,Vocalization cessation
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",101,rms,Measured,up to 8 km,1,,,,Increased calling rate during approaches of duration less than the exposure period. Minor modification of vocal behavior.,2,Low,Not-avoidance,Vocalization Rate Increase
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",142,rms,Measured,up to 8 km,1,,,Traveling,Brief and small change in speed but not necessarily to avoid. Speed goes back to normal as soon exposure stops. ,3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",157,rms,Measured,up to 8 km,1,,,,"An increased calling rate during approaches, but much shorter than the duration of the exposure. Brief modification in vocal response. ",2,Low,Not-avoidance,Vocalization Rate Increase
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,Continuous,Vessel ,Moving (approaching),,,1 s every 20 s,,,,up to 8 km,1,,,,Brief group avoidance of sound source as tagged animal moved somewhat out of the path of the oncoming source.,4,Moderate,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",133,rms,Measured,up to 8 km,1,,,Traveling,Minor avoidance of sound source as tagged animal within its group (except the calf) crossed to opposite side of fjord. The avoidance is likely to have been affected both by the calf separation and the narrow shape of the fjord. ,5,Moderate,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",144,rms,Measured,up to 8 km,1,,,,"Prolonged overall change in vocal behavior, including production of high-frequency whistles (apparently related to the calf separation).",5,Moderate,Not-avoidance,Vocalization frequency shift
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",144,rms,Measured,up to 8 km,1,,,Traveling,Minor change in speed and direction (slow down and turn) but not to avoid. This change may also have been related to the calf which was separated from and behind the main group of animals. ,3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",152,rms,Measured,up to 8 km,1,,,Traveling,Prolonged separation of dependent calf. Calf was sighted travelling alone for 86 min but had never been seen traveling alone for over 30 h of prior observation. ,8,Very high,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",91,rms,Measured,up to 8 km,1,,,,"Prolonged modification of vocal behavior, with groups of calls synchronized with the arrival of sonar pings.",6,High,Avoidance,Vocalization change
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",94,rms,Measured,up to 8 km,1,,,Traveling,Dramatic increase in swim speed and change in direction sideways to the oncoming source. Prolonged group avoidance.,7,High,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",94,rms,Measured,up to 8 km,1,,,Foraging,Prolonged change in dive behavior; deep foraging dives ceased.,5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",94,rms,Measured,up to 8 km,1,,,Foraging,Prolonged cessation of feeding. Tailslaps were heard in deep dive just prior to the exposure but never again throughout the tag deployment.,7,High,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",152,rms,Measured,up to 8 km,1,,,,Surface displays stop associated with increased surface synchrony; pro-longed change of group spacing (tighter).,5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",92,rms,Measured,up to 8 km,1,,,Traveling,Turn away from the oncoming source with ocassional turns sideways to apporaching source during exposure period. Moderate increase in swim speed and change in direction to avoid source. ,6,High,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",116,rms,Measured,up to 8 km,1,,,Traveling,Overall tighter group spacing and high surface synchrony which extended beyond the end of the exposure period. Prolonged change in group spacing.,5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",163,rms,Measured,up to 8 km,1,,,Traveling,Striking change in group spacing (tighter) and surface synchrony (increased).,5,Moderate,Not-avoidance,Not measured/reported
